"","us-bibliographic-data-grant.publication-reference1","us-bibliographic-data-grant.publication-reference2","us-bibliographic-data-grant.publication-reference3","us-bibliographic-data-grant.publication-reference4","us-bibliographic-data-grant.application-reference1","us-bibliographic-data-grant.application-reference2","us-bibliographic-data-grant.application-reference3","us-bibliographic-data-grant.application-reference..attrs.appl-type","us-bibliographic-data-grant.us-application-series-code","us-bibliographic-data-grant.us-term-of-grant.length-of-grant","us-bibliographic-data-grant.classification-locarno.edition","us-bibliographic-data-grant.classification-locarno.main-classification","us-bibliographic-data-grant.classification-national.country","us-bibliographic-data-grant.classification-national.main-classification","us-bibliographic-data-grant.invention-title.text","us-bibliographic-data-grant.invention-title..attrs.id","us-bibliographic-data-grant.number-of-claims","us-bibliographic-data-grant.us-exemplary-claim","us-bibliographic-data-grant.figures.number-of-drawing-sheets","us-bibliographic-data-grant.figures.number-of-figures","us-bibliographic-data-grant.us-parties.us-applicants.address.city","us-bibliographic-data-grant.us-parties.us-applicants.address.country","us-bibliographic-data-grant.us-parties.us-applicants.country","us-bibliographic-data-grant.us-parties.us-applicants.sequence","us-bibliographic-data-grant.us-parties.us-applicants.app-type","us-bibliographic-data-grant.us-parties.us-applicants.designation","us-bibliographic-data-grant.us-parties.inventors1","us-bibliographic-data-grant.us-parties.inventors2","us-bibliographic-data-grant.us-parties.inventors.city","us-bibliographic-data-grant.us-parties.inventors.country","us-bibliographic-data-grant.us-parties.inventors.sequence","us-bibliographic-data-grant.us-parties.inventors.designation","drawings..attrs.id","description..attrs.id","us-claim-statement","claims1","claims.id","claims.num","claims..attrs.id",".attrs.lang",".attrs.dtd-version",".attrs.file",".attrs.status",".attrs.id",".attrs.country",".attrs.date-produced",".attrs.date-publ"
"xml","US","D0786759","S1","20170516","US","29537190","20150824","design","29","15","10","1216","US","D12192","Vehicle instrument cluster","d2e53","1","1","5","7","Southfield","US","US","001","applicant","us-only","Webb","Gareth","Farmington","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a vehicle instrument cluster, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786759-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786760","S1","20170516","US","29567660","20160610","design","29","15","10","1216","US","D12192","Flanged gauge ring","d2e53","1","1","3","5","Ruian","CN","CN","001","applicant","us-only","Chen","Xian Da","Ruian","CN","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a flanged gauge ring, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786760-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786761","S1","20170516","US","29530457","20150617","design","29","15","10","1216","US","D12196","Front door for a vehicle","d2e71","1","1","8","8","Munich","DE","DE","001","applicant","us-only","Luk","Calvin","Munich","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a front door for a vehicle, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786761-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786762","S1","20170516","US","29540107","20150921","design","29","15","10","1216","US","D12196","Chassis fairing cap","d2e53","1","1","10","12","Prosper","US","US","001","applicant","us-only","Smith","Jeffrey P.","Prosper","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a chassis fairing cap, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786762-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786763","S1","20170516","US","29555886","20160225","design","29","15","10","1216","US","D12196","Rear door panel for automobiles","d2e71","1","1","7","7","Seoul","KR","KR","001","applicant","us-only","Park","Yong-Jin","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a rear door panel for automobiles, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786763-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786764","S1","20170516","US","29519765","20150306","design","29","14","10","1216","US","D12209","Wheel for an automobile","d2e53","1","1","6","6","Sugar Land","US","US","001","applicant","us-only","Youssef","Michael","Sugar Land","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wheel for an automobile, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786764-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786765","S1","20170516","US","29535933","20150812","design","29","15","10","1216","US","D12209","Vehicle wheel","d2e71","1","1","6","6","Munich","DE","DE","001","applicant","us-only","Gardavsky","Gregor","Munich","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a vehicle wheel, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786765-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786766","S1","20170516","US","29539453","20150915","design","29","15","10","1216","US","D12209","Vehicle wheel","d2e71","1","1","6","6","Munich","DE","DE","001","applicant","us-only","Rueckheim","Andre","Pfaffenhofen an der Ilm","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a vehicle wheel, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786766-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786767","S1","20170516","US","29555174","20160219","design","29","15","10","1216","US","D12209","Rim","d2e71","1","1","6","6","Göteborg","SE","SE","001","applicant","us-only","Bjerke","Ole-Kristian","Göteborg","SE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a rim, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786767-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786768","S1","20170516","US","29519763","20150306","design","29","14","10","1216","US","D12211","Wheel for an automobile","d2e53","1","1","6","6","Sugar Land","US","US","001","applicant","us-only","Youssef","Michael","Sugar Land","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wheel for an automobile, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786768-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786769","S1","20170516","US","29552834","20160126","design","29","15","10","1206","US","D12220","Adapter of windscreen wiper","d2e53","1","1","9","9","Gyeongsangbuk-do","KR","KR","001","applicant","us-only","Lee","Sang Chul","Gyeongsangbuk-do","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a adapter for windscreen wiper, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786769-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786770","S1","20170516","US","29549466","20151222","design","29","15","10","1207","US","D12345","Aircraft passenger control console","d2e71","1","1","6","8","St-Laurent","CA","CA","001","applicant","us-only","Smallhorn","George R","St-Laurent","CA","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for the aircraft passenger control console, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786770-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786771","S1","20170516","US","29558286","20160316","design","29","15","10","1216","US","D12413","Cargo box","d2e53","1","1","6","8","Hillerstorp","SE","SE","001","applicant","us-only","Eriksson","Henrik","Jönköping","SE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a cargo box, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786771-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786772","S1","20170516","US","29543916","20151029","design","29","15","10","1215","US","D12517","Tread portion of an automobile tire","d2e71","1","1","8","8","Tokyo","JP","JP","001","applicant","us-only","Kato","Keiichi","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tread portion of an automobile tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786772-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786773","S1","20170516","US","29568281","20160616","design","29","15","10","1215","US","D12519","Tire tread","d2e71","1","1","5","5","Lempäälä","FI","FI","001","applicant","us-only","Raatikainen","Jouni Juhani","Lempäälä","FI","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for tire tread, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786773-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786774","S1","20170516","US","29498327","20140801","design","29","14","10","1215","US","D12521","Tire for automobile","d2e71","1","1","6","6","Kobe-shi, Hyogo","JP","JP","001","applicant","us-only","Sanae","Ryuhei","Kobe","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire for automobile, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786774-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786775","S1","20170516","US","29530317","20150616","design","29","15","10","1215","US","D12521","Tread portion of an automobile tire","d2e71","1","1","7","7","Tokyo","JP","JP","001","applicant","us-only","Hayashi","Shintaro","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tread portion of an automobile tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786775-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786776","S1","20170516","US","29552958","20160127","design","29","15","10","1215","US","D12521","Tread portion of automobile tire","d2e71","1","1","8","8","Tokyo","JP","JP","001","applicant","us-only","Aoki","Naotoshi","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tread portion of automobile tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786776-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786777","S1","20170516","US","29566758","20160602","design","29","15","10","1215","US","D12521","Tire","d2e53","1","1","9","9","Akron","US","US","001","applicant","us-only","Brayer","Randall Raymond","North Canton","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786777-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786778","S1","20170516","US","29542466","20151014","design","29","15","10","1215","US","D12527","Automobile tire","d2e73","1","1","10","10","Minato-ku, Tokyo","JP","JP","001","applicant","us-only","Suzuki","Takumi","Hiratsuka","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an automobile tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786778-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786779","S1","20170516","US","29554985","20160217","design","29","15","10","1215","US","D12533","Tire tread","d2e53","1","1","3","3","Nashville","US","US","001","applicant","us-only","Scheifele","Kevin E.","Atwater","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire tread, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786779-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786780","S1","20170516","US","29557620","20160310","design","29","15","10","1215","US","D12556","Tire","d2e71","1","1","8","8","Osaka-shi, Osaka","JP","JP","001","applicant","us-only","Sato","Yoshiki","Osaka","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786780-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786781","S1","20170516","US","29522887","20150403","design","29","14","10","1215","US","D12563","Tread of an automobile tire","d2e71","1","1","7","7","Tokyo","JP","JP","001","applicant","us-only","Takei","Ataka","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tread of an automobile tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786781-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786782","S1","20170516","US","29541579","20151006","design","29","15","10","1215","US","D12563","Tire","d2e53","1","1","4","4","Akron","US","US","001","applicant","us-only","Dixon","Max Harold","Kent","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786782-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786783","S1","20170516","US","29562612","20160427","design","29","15","10","1215","US","D12574","Tire tread","d2e71","1","1","5","5","Clermont-Ferrand","FR","FR","001","applicant","us-only","Marlier","Fabien","Clermont-Ferrand","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire tread, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786783-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786784","S1","20170516","US","29544104","20151030","design","29","15","10","1215","US","D12579","Tire","d2e53","1","1","3","3","Lake Villa","US","US","001","applicant","us-only","Mathis","Michael","Lake Villa","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786784-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786785","S1","20170516","US","29544091","20151030","design","29","15","10","1215","US","D12595","Tire","d2e53","1","1","6","6","Akron","US","US","001","applicant","us-only","Mathonet","Vincent Benoit","Harze","BE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a tire, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786785-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786786","S1","20170516","US","29487360","20140408","design","29","14","10","1215","US","D12600","Tire for a car","d2e71","1","1","8","8","Gwangju","KR","KR","001","applicant","us-only","In","Sung-Hoon","Yongin-si","KR","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a tire for a car, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786786-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786787","S1","20170516","US","29562802","20160429","design","29","15","10","1302","US","D13103","Emergency power supply (PZ-700)","d2e53","1","1","4","8","Zhejiang Province","CN","CN","001","applicant","us-only","Yang","Zhaolin","Zhejiang Province","CN","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an emergency power supply (PZ-700), as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786787-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786788","S1","20170516","US","29523708","20150413","design","29","14","10","1302","US","D13108","Wall charger","d2e53","1","1","7","7","Ningbo, Zhejiang","CN","CN","001","applicant","us-only","Chen","Pengcheng","Ningbo","CN","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wall charger, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786788-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786789","S1","20170516","US","29531420","20150625","design","29","15","10","1302","US","D13108","Charger for an electronic vaping device","d2e53","1","1","5","8","Midlothian","US","US","001","applicant","us-only","Jordan","Geoffrey B.","Midlothian","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a charger for an electronic vaping device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786789-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786790","S1","20170516","US","29541038","20150930","design","29","15","10","1302","US","D13108","Portable power charger","d2e53","1","1","5","9","Glastonbury","US","US","001","applicant","us-only","Miller","Garold C.","Glastonbury","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a portable power charger, substantially as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786790-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786791","S1","20170516","US","29564324","20160512","design","29","15","10","1302","US","D13108","Wireless charger for cellular phone","d2e71","1","1","3","6","Seoul","KR","KR","001","applicant","us-only","Jeong","Ki Hyun","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wireless charger for cellular phone, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786791-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786792","S1","20170516","US","29558564","20160318","design","29","15","10","1302","US","D13110","Combination power adapter and detachable battery","d2e53","1","1","10","14","Glastonbury","US","US","001","applicant","us-only","Miller","Garold C.","Glastonbury","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a combination power adapter and detachable battery, substantially as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786792-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786793","S1","20170516","US","29567103","20160606","design","29","15","10","1302","US","D13110","Redundant power supply","d2e53","1","1","7","8","Taipei","TW","TW","001","applicant","us-only","Lin","Pao-Tsun","Taipei","TW","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a redundant power supply, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786793-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786794","S1","20170516","US","29523905","20150415","design","29","14","10","1301","US","D13112","Air motor","d2e53","1","1","7","7","Minneapolis","US","US","001","applicant","us-only","McCormick","Martin P.","Forest Lake","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an air motor, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786794-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786795","S1","20170516","US","29529180","20150604","design","29","15","10","1303","US","D13126","Ignition coil","d2e53","1","1","7","7","Pompano Beach","US","US","001","applicant","us-only","Zhang","Yi","Pompano Beach","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an ignition coil, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786795-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786796","S1","20170516","US","29530032","20150612","design","29","15","10","1303","US","D13133","Electrical connector housing","d2e53","1","1","11","14","Middletown","US","US","001","applicant","us-only","Frye","Scott Michael","Palmyra","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design of an electric connector housing, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786796-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786797","S1","20170516","US","29527045","20150515","design","29","15","10","1303","US","D131372","Power strip","d2e53","1","1","5","8","Taipei","TW","TW","001","applicant","us-only","Hsu","Cheng-Tsuen","Taipei","TW","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a power strip, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786797-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786798","S1","20170516","US","29509018","20141113","design","29","14","10","1303","US","D13147","Electrical connector","d2e71","1","1","8","10","Tokyo","JP","JP","001","applicant","us-only","Yokoyama","Yohei","Tokyo","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electrical connector, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786798-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786799","S1","20170516","US","29547908","20151209","design","29","15","10","1303","US","D13147","Electrical connector device","d2e308","1","1","7","7","Blomberg","DE","DE","001","applicant","us-only","Salomon","Thomas","Verl","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electrical connector device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786799-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786800","S1","20170516","US","29556597","20160302","design","29","15","10","1303","US","D13147","Electrical connector","d2e90","1","1","6","7","Blomberg","DE","DE","001","applicant","us-only","Utermoehle","Daniel","Uslar","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electrical connector, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786800-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786801","S1","20170516","US","29531156","20150623","design","29","15","10","1303","US","D13156","Sheathed spring for strain relief of consumer electronics cords","d2e53","1","1","2","5","San Rafael","US","US","001","applicant","us-only","Stephens","Danielle Marie","San Rafael","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for my sheathed spring for strain relief of consumer electronics cords, as shown and described herein.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786801-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786802","S1","20170516","US","29448591","20130313","design","29","14","10","1303","US","D13160","Circuit breaker","d2e73","1","1","7","7","Heidelberg","DE","DE","001","applicant","us-only","Majewski","Joachim","Dossenheim","DE","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a circuit breaker, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786802-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786803","S1","20170516","US","29533751","20150722","design","29","15","10","1403","US","D13168","Remote control for air conditioner","d2e71","1","1","5","7","Suwon-si","KR","KR","001","applicant","us-only","Kim","Daejoung","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a remote control for air conditioner, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786803-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786804","S1","20170516","US","29569190","20160624","design","29","15","10","1403","US","D13168","Wireless remote control","d2e71","1","1","5","7","Cluses","FR","FR","001","applicant","us-only","Desagre","Thomas","Lyons","FR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a wireless remote control, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786804-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786805","S1","20170516","US","29540924","20150929","design","29","15","10","1303","US","D13174","Switch","d2e53","1","1","1","6","Germantown","US","US","001","applicant","us-only","Anderson","Scott L.","North Prairie","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a switch, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786805-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786806","S1","20170516","US","29540704","20150926","design","29","15","10","1303","US","D13179","Heat sink module","d2e53","1","1","6","12","Madison","US","US","001","applicant","us-only","Lindeman","Brett A.","Madison","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a heat sink module, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786806-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786807","S1","20170516","US","29548293","20151211","design","29","15","10","1303","US","D13179","Heat sink","d2e53","1","1","11","15","Schenectady","US","US","001","applicant","us-only","Murphy","Mark Allen","Erie","US","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a heat sink, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786807-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786808","S1","20170516","US","29546032","20151118","design","29","15","10","1303","US","D13180","Light-emitting diode","d2e144","1","1","6","12","Yamanashi-ken","JP","JP","001","applicant","us-only","Kayanuma","Yasuaki","Yamanashi-ken","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for light-emitting diode, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786808-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786809","S1","20170516","US","29546041","20151118","design","29","15","10","1303","US","D13180","Light emitting diode","d2e108","1","1","5","7","Yamanashi","JP","JP","001","applicant","us-only","Kuriki","Shingo","Yamanashi","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a light emitting diode, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786809-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786810","S1","20170516","US","29524912","20150424","design","29","14","10","1303","US","D13182","Dummy wafer","d2e71","1","1","2","5","Tokyo","JP","JP","001","applicant","us-only","Motoyama","Yutaka","Iwate","JP","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a dummy wafer, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786810-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786811","S1","20170516","US","29547646","20151207","design","29","15","10","1303","US","D13182","LED electronic display","d2e71","1","1","4","6","Guangdong","CN","CN","001","applicant","us-only","Zheng","Jian","Guangdong","CN","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a LED electronic display, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786811-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786812","S1","20170516","US","29560910","20160412","design","29","15","10","1403","US","D14126","Television","d2e53","1","1","7","9","Irvine","US","US","001","applicant","us-only","McManigal","Scott","Irvine","US","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a television, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786812-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786813","S1","20170516","US","29560911","20160412","design","29","15","10","1403","US","D14126","Television","d2e53","1","1","7","9","Irvine","US","US","001","applicant","us-only","McManigal","Scott","Irvine","US","001","us-only","DRAWINGS","description","CLAIM","I claim the ornamental design for a television, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786813-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786814","S1","20170516","US","29564188","20160511","design","29","15","10","1403","US","D14126","Television","d2e71","1","1","7","8","Suwon-si","KR","KR","001","applicant","us-only","Lee","Hyungsun","Yongin-si","KR","001","us-only","DRAWINGS","description","CLAIM","We claim the ornamental design for a television, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786814-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786815","S1","20170516","US","29504113","20141002","design","29","14","10","1403","US","D14138G","Cellular phone","d2e71","1","1","6","7","Seoul","KR","KR","001","applicant","us-only","Park","Soonhyun","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a cellular phone, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786815-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786816","S1","20170516","US","29523174","20150407","design","29","14","10","1403","US","D14138AA","Mobile phone","d2e71","1","1","12","14","Seoul","KR","KR","001","applicant","us-only","Choo","Zhimin","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for a mobile phone, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786816-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
"xml","US","D0786817","S1","20170516","US","29525254","20150428","design","29","14","10","1403","US","D14138AA","Electronic device","d2e71","1","1","6","8","Suwon-si","KR","KR","001","applicant","us-only","Kim","Sung-Kwon","Seoul","KR","001","us-only","DRAWINGS","description","CLAIM","The ornamental design for an electronic device, as shown and described.","CLM-00001","00001","claims","EN","v4.5 2014-04-03","USD0786817-20170516.XML","PRODUCTION","us-patent-grant","US","20170501","20170516"
